date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bury 009C,E01004962,837,0,240,268,160,127,27,9,5,1
2021,Bury 009D,E01004964,841,0,315,267,137,85,24,10,1,2
2021,Bury 010A,E01004949,579,0,133,227,91,98,26,3,1,0
2021,Bury 010B,E01004950,622,0,143,248,103,93,26,5,4,0
2021,Bury 010C,E01004951,648,0,160,270,96,93,20,6,1,2
2021,Bury 010D,E01004952,615,0,176,276,71,71,17,2,2,0
2021,Bury 010E,E01004953,636,0,167,225,104,108,25,4,1,2
2021,Bury 011A,E01005025,717,0,228,236,125,68,33,14,10,3
2021,Bury 011B,E01005027,687,0,241,170,104,64,45,42,12,9
2021,Bury 011C,E01005028,833,0,259,203,132,121,71,26,11,10
2021,Bury 011D,E01005029,638,0,159,155,88,90,65,47,17,17
2021,Bury 012A,E01005000,590,0,125,232,108,95,19,8,2,1
2021,Bury 012B,E01005001,494,0,91,183,105,81,26,8,0,0
2021,Bury 012C,E01005005,622,0,181,234,101,80,20,5,1,0
2021,Bury 012D,E01005006,808,0,174,298,149,140,37,9,0,1
2021,Bury 013A,E01005030,790,0,333,198,109,75,34,22,11,8
2021,Bury 013B,E01005054,705,0,233,241,108,90,27,5,1,0
2021,Bury 013C,E01005059,723,0,230,221,109,83,42,27,6,5
2021,Bury 013D,E01005060,735,0,240,242,105,91,29,19,4,5
2021,Bury 014A,E01004997,618,0,173,213,113,71,31,11,4,2
2021,Bury 014B,E01004998,737,0,224,277,122,91,22,0,1,0
2021,Bury 014C,E01004999,597,0,147,213,99,99,28,8,2,1
2021,Bury 014D,E01005002,647,0,172,248,111,80,20,8,4,4
2021,Bury 014E,E01005003,681,0,257,203,109,77,27,6,1,1
