date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Salford 009,E02001165,2662,0,812,882,480,346,97,36,7,2
2021,Salford 010,E02001166,2380,0,738,562,268,182,152,122,92,264
2021,Salford 011,E02001167,2809,0,945,815,417,318,178,75,38,23
2021,Salford 012,E02001168,4222,0,1304,1375,760,545,160,56,13,9
2021,Salford 013,E02001169,4453,0,1032,1628,840,764,149,27,10,3
2021,Salford 014,E02001170,4146,0,1143,1472,685,617,187,31,4,7
2021,Salford 015,E02001171,2557,0,681,885,459,385,111,24,7,5
2021,Salford 017,E02001173,3571,0,1206,1051,625,379,171,68,33,38
2021,Salford 018,E02001174,2339,0,661,789,418,308,104,44,10,5
2021,Salford 019,E02001175,3079,0,945,974,495,399,154,74,15,23
2021,Salford 020,E02001176,5473,0,2248,1627,735,566,195,69,18,15
2021,Salford 021,E02001177,5816,0,2023,1876,887,629,252,111,28,10
2021,Salford 023,E02001179,3171,0,1184,1013,471,287,132,59,17,8
2021,Salford 024,E02001180,2542,0,1165,633,400,222,81,26,10,5
2021,Salford 025,E02001181,2635,0,971,756,432,299,106,45,13,13
2021,Salford 026,E02001182,3327,0,1256,1038,495,348,123,47,12,8
2021,Salford 027,E02001183,3186,0,1076,977,591,362,112,34,29,5
2021,Salford 029,E02001185,4088,0,1208,1330,780,521,176,48,15,10
2021,Salford 030,E02001186,4478,0,1400,1425,757,586,208,67,29,6
2021,Salford 031,E02006957,2675,0,1055,481,281,231,197,128,85,217
2021,Salford 032,E02006958,3072,0,1022,845,469,317,190,126,46,57
2021,Salford 033,E02006959,4634,0,2079,2061,343,108,26,15,2,0
2021,Salford 034,E02006960,3794,0,1507,1474,444,231,90,32,9,7
2021,Salford 035,E02006961,3151,0,1252,1046,481,230,88,43,8,3
2021,Salford 036,E02006962,2478,0,759,1093,431,131,34,16,8,6
2021,Salford 037,E02006963,3460,0,1458,1571,334,84,9,4,0,0
2021,Stockport 001,E02001187,3079,0,983,1039,506,402,107,28,12,2
2021,Stockport 002,E02001188,3825,0,1306,1242,624,416,161,53,10,13
2021,Stockport 003,E02001189,3595,0,1056,1253,672,446,113,36,15,4
2021,Stockport 004,E02001190,3484,0,1366,928,571,383,154,53,22,7
2021,Stockport 005,E02001191,2631,0,928,904,379,308,84,19,4,5
2021,Stockport 006,E02001192,2857,0,1007,882,392,424,118,24,7,3
2021,Stockport 007,E02001193,3014,0,1115,1039,459,268,96,23,4,10
2021,Stockport 008,E02001194,2656,0,815,848,374,453,125,25,9,7
2021,Stockport 009,E02001195,3266,0,969,1132,618,400,115,17,12,3
2021,Stockport 010,E02001196,3422,0,1047,1225,539,465,110,27,7,2
2021,Stockport 011,E02001197,2621,0,778,824,451,400,138,21,7,2
2021,Stockport 012,E02001198,3350,0,1162,1100,558,356,110,50,10,4
2021,Stockport 013,E02001199,3402,0,1118,1093,498,488,132,41,21,11
2021,Stockport 014,E02001200,4083,0,2007,1134,522,252,100,44,13,11
2021,Stockport 015,E02001201,2461,0,690,844,464,348,92,15,6,2
2021,Stockport 016,E02001202,3182,0,1236,1114,509,227,66,21,8,1
2021,Stockport 017,E02001203,2455,0,559,1036,370,367,107,12,4,0
2021,Stockport 018,E02001204,3786,0,1116,1264,697,515,128,47,12,7
2021,Stockport 019,E02001205,3971,0,1441,1379,599,399,124,14,9,6
2021,Stockport 020,E02001206,3099,0,899,1099,522,437,112,28,0,2
