date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Sandwell 022,E02002064,12493,1614,40,46,986,367,175,894,318,420,156,610,106,25,405,74,9076,8501,35,2,8,530,299,42,257
2021,Sandwell 023,E02002065,14170,9079,2181,32,3870,2139,857,1471,722,570,179,445,119,53,174,99,2009,1423,18,6,17,545,1166,62,1104
2021,Sandwell 024,E02002066,8259,3931,50,24,1572,1933,352,738,242,390,106,374,92,24,194,64,2759,2267,41,8,14,429,457,20,437
2021,Sandwell 025,E02002067,6320,473,12,10,256,131,64,285,135,83,67,211,35,13,124,39,5216,4990,18,0,0,208,135,19,116
2021,Sandwell 027,E02002069,7245,1093,39,43,656,225,130,608,258,231,119,396,104,20,210,62,4941,4675,31,2,2,231,207,74,133
2021,Sandwell 028,E02002070,10336,4596,219,36,2021,1904,416,1738,1107,494,137,537,155,36,260,86,2762,2109,27,66,24,536,703,53,650
2021,Sandwell 029,E02002071,6714,442,22,32,212,117,59,276,109,128,39,286,52,11,183,40,5622,5459,21,4,1,137,88,17,71
2021,Sandwell 030,E02002072,8923,2122,67,43,1322,501,189,825,339,366,120,430,107,28,240,55,5188,4828,41,0,10,309,358,52,306
2021,Sandwell 031,E02002073,8410,2481,114,21,1049,963,334,755,308,335,112,546,124,35,306,81,4240,3875,41,4,14,306,388,44,344
2021,Sandwell 032,E02002074,8207,1688,54,35,995,424,180,524,173,270,81,428,83,19,252,74,5327,4986,69,1,4,267,240,22,218
2021,Sandwell 033,E02002075,8735,918,97,25,365,337,94,403,131,218,54,364,68,24,232,40,6901,6541,34,7,5,314,149,44,105
2021,Sandwell 034,E02002076,10669,1566,64,80,760,419,243,936,465,347,124,763,183,73,374,133,7000,5732,260,15,38,955,404,66,338
2021,Sandwell 035,E02002077,10883,1534,82,40,198,1080,134,537,323,169,45,425,117,20,217,71,8034,7809,34,5,1,185,353,258,95
2021,Sandwell 036,E02002078,6570,1252,34,28,869,179,142,386,155,192,39,382,102,12,183,85,4243,3866,101,2,9,265,307,48,259
2021,Sandwell 037,E02002079,8663,1170,42,36,670,269,153,590,173,330,87,466,94,23,277,72,6166,5750,92,6,7,311,271,51,220
2021,Sandwell 038,E02002080,7382,563,43,20,106,341,53,187,75,88,24,362,124,18,161,59,6158,5939,24,36,0,159,112,49,63
2021,Solihull 001,E02002081,5434,488,17,29,112,305,25,145,26,106,13,211,48,6,116,41,4541,4394,80,0,1,66,49,6,43
2021,Solihull 002,E02002082,5840,103,10,8,31,33,21,309,92,156,61,365,40,17,264,44,5019,4867,26,0,0,126,44,12,32
2021,Solihull 003,E02002083,6026,456,27,24,38,327,40,89,6,75,8,180,50,3,90,37,5258,5133,60,8,1,56,43,18,25
2021,Solihull 004,E02002084,6745,233,17,34,43,121,18,301,97,164,40,362,33,19,269,41,5783,5513,87,8,0,175,66,23,43
2021,Solihull 005,E02002085,6660,247,9,11,99,98,30,233,81,110,42,351,31,22,255,43,5806,5503,83,0,6,214,23,10,13
2021,Solihull 006,E02002086,5924,161,0,20,44,63,34,198,30,118,50,320,31,15,235,39,5208,4995,74,0,1,138,37,13,24
2021,Solihull 007,E02002087,6297,198,5,19,55,52,67,212,74,108,30,416,49,16,315,36,5430,5188,93,0,3,146,41,11,30
2021,Solihull 008,E02002088,9586,203,20,19,65,49,50,296,81,172,43,534,63,34,401,36,8524,8162,107,5,1,249,29,4,25
2021,Solihull 009,E02002089,8065,413,22,65,155,97,74,232,74,120,38,359,77,19,212,51,6960,6726,102,3,0,129,101,20,81
2021,Solihull 010,E02002090,5962,1335,226,35,312,682,80,119,36,63,20,163,44,12,62,45,4233,3913,193,0,0,127,112,38,74
2021,Solihull 011,E02002091,7652,1019,83,59,258,548,71,149,42,84,23,201,67,7,84,43,6162,5827,135,0,2,198,121,31,90
2021,Solihull 012,E02002092,7270,962,119,35,264,434,110,103,40,54,9,218,78,14,93,33,5864,5503,113,4,8,236,123,46,77
