date,geography,geography code,Number of households: Number of households; measures: Value
2021,Manchester 057A,E01005212,761
2021,Manchester 057B,E01033656,484
2021,Manchester 057C,E01033662,967
2021,Manchester 058A,E01005142,703
2021,Manchester 058B,E01005147,898
2021,Manchester 058C,E01033674,667
2021,Manchester 058D,E01033675,771
2021,Manchester 059A,E01005213,1163
2021,Manchester 059B,E01033660,860
2021,Manchester 059C,E01033672,921
2021,Manchester 059D,E01033673,858
2021,Manchester 060A,E01033677,610
2021,Manchester 060B,E01033681,850
2021,Manchester 060C,E01033682,751
2021,Manchester 060E,E01034131,649
2021,Manchester 060F,E01034132,957
2021,Manchester 061A,E01005129,835
2021,Manchester 061B,E01005132,843
2021,Manchester 061C,E01034133,881
2021,Manchester 061D,E01034134,670
2021,Manchester 062D,E01033684,1018
2021,Manchester 062B,E01033688,701
2021,Manchester 062A,E01034135,641
2021,Manchester 062C,E01034136,606
2021,Manchester 063B,E01005233,786
2021,Manchester 063A,E01005234,650
2021,Manchester 063D,E01005238,581
2021,Manchester 063C,E01034137,495
2021,Manchester 064C,E01005199,904
2021,Manchester 064A,E01005200,962
2021,Manchester 064B,E01034138,453
2021,Oldham 001A,E01005357,615
2021,Oldham 001B,E01005358,715
2021,Oldham 001C,E01005359,759
2021,Oldham 001D,E01005360,640
2021,Oldham 002A,E01005441,752
2021,Oldham 002B,E01005442,578
2021,Oldham 002C,E01005444,659
2021,Oldham 002D,E01005445,663
2021,Oldham 003A,E01005361,737
2021,Oldham 003B,E01005443,541
2021,Oldham 003C,E01005446,593
2021,Oldham 003D,E01005447,719
2021,Oldham 004A,E01005390,609
2021,Oldham 004B,E01005394,644
2021,Oldham 004C,E01005395,624
2021,Oldham 004D,E01005396,574
2021,Oldham 005A,E01005355,624
2021,Oldham 005B,E01005356,501
2021,Oldham 005C,E01005399,710
2021,Oldham 005D,E01005403,692
2021,Oldham 006A,E01005410,620
2021,Oldham 006B,E01005411,736
2021,Oldham 006C,E01005414,560
2021,Oldham 006D,E01005415,512
2021,Oldham 007C,E01005452,539
2021,Oldham 007D,E01005453,636
2021,Oldham 007E,E01032558,657
2021,Oldham 007F,E01032559,1011
2021,Oldham 008A,E01005391,656
2021,Oldham 008B,E01005392,805
2021,Oldham 008C,E01005393,532
2021,Oldham 008D,E01005401,681
2021,Oldham 009A,E01005397,612
2021,Oldham 009B,E01005398,674
2021,Oldham 009C,E01005400,794
2021,Oldham 009D,E01005402,664
2021,Oldham 010A,E01005335,543
2021,Oldham 010B,E01005337,788
2021,Oldham 010C,E01005339,602
2021,Oldham 010D,E01005340,626
2021,Oldham 011A,E01005421,772
2021,Oldham 011B,E01005422,524
2021,Oldham 011E,E01032920,1060
2021,Oldham 012A,E01005448,742
2021,Oldham 012B,E01005449,680
2021,Oldham 012C,E01005454,571
2021,Oldham 012D,E01005455,607
2021,Oldham 012E,E01005456,762
2021,Oldham 013A,E01005407,752
2021,Oldham 013B,E01005412,794
2021,Oldham 013C,E01005416,672
2021,Oldham 013D,E01005417,642
2021,Oldham 014A,E01005348,747
2021,Oldham 014B,E01005350,1063
2021,Oldham 014C,E01005432,690
2021,Oldham 014D,E01005433,936
2021,Oldham 015A,E01005329,630
2021,Oldham 015B,E01005330,692
2021,Oldham 015C,E01005333,500
2021,Oldham 015D,E01005336,629
2021,Oldham 016A,E01005349,589
2021,Oldham 016B,E01005351,474
2021,Oldham 016C,E01005352,467
2021,Oldham 016D,E01005353,408
2021,Oldham 016E,E01005354,574
2021,Oldham 017A,E01005327,777
2021,Oldham 017B,E01005328,748
2021,Oldham 017C,E01005331,656
2021,Oldham 017D,E01005334,553
2021,Oldham 017E,E01005338,761
2021,Oldham 018A,E01005387,640
2021,Oldham 018B,E01005388,585
2021,Oldham 018C,E01005389,782
2021,Oldham 018D,E01005418,598
2021,Oldham 019A,E01005428,526
2021,Oldham 019B,E01005431,698
2021,Oldham 019C,E01005450,668
2021,Oldham 019D,E01005451,495
2021,Oldham 020C,E01005408,893
2021,Oldham 020D,E01005409,660
2021,Oldham 020E,E01032922,1070
2021,Oldham 021A,E01005406,586
2021,Oldham 021B,E01005413,643
2021,Oldham 021C,E01005419,653
2021,Oldham 021D,E01005420,745
2021,Oldham 022A,E01005321,621
2021,Oldham 022B,E01005326,556
2021,Oldham 022C,E01005427,509
2021,Oldham 022D,E01005429,464
2021,Oldham 022E,E01005430,721
2021,Oldham 024A,E01005320,648
2021,Oldham 024B,E01005434,792
2021,Oldham 024C,E01005437,544
2021,Oldham 024D,E01005459,481
2021,Oldham 026A,E01005383,708
2021,Oldham 026D,E01005386,646
2021,Oldham 026E,E01032556,670
2021,Oldham 026F,E01032557,764
2021,Oldham 027A,E01005342,727
2021,Oldham 027B,E01005343,544
2021,Oldham 027C,E01005344,778
2021,Oldham 027D,E01005381,758
2021,Oldham 028A,E01005332,988
2021,Oldham 028B,E01005341,592
2021,Oldham 028C,E01005345,617
2021,Oldham 028D,E01005346,600
2021,Oldham 028E,E01005347,542
2021,Oldham 029A,E01005322,536
2021,Oldham 029B,E01005323,619
2021,Oldham 029C,E01005324,690
2021,Oldham 029D,E01005325,513
2021,Oldham 029E,E01005438,1005
2021,Oldham 030A,E01005377,633
2021,Oldham 030B,E01005379,483
2021,Oldham 030C,E01005380,523
2021,Oldham 030D,E01005382,652
2021,Oldham 030E,E01005439,651
2021,Oldham 031A,E01005362,597
