date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Birmingham 013,E02001839,6440,3374,3066
2021,Birmingham 014,E02001840,9606,5075,4531
2021,Birmingham 015,E02001841,5963,3067,2896
2021,Birmingham 016,E02001842,8068,4135,3933
2021,Birmingham 017,E02001843,6639,3387,3252
2021,Birmingham 018,E02001844,9715,4991,4724
2021,Birmingham 019,E02001845,6662,3478,3184
2021,Birmingham 020,E02001846,8157,4197,3960
2021,Birmingham 021,E02001847,5596,2847,2749
2021,Birmingham 022,E02001848,7320,3900,3420
2021,Birmingham 023,E02001849,8792,4476,4316
2021,Birmingham 024,E02001850,8605,4343,4262
2021,Birmingham 025,E02001851,9083,4686,4397
2021,Birmingham 026,E02001852,7030,3537,3493
2021,Birmingham 029,E02001855,9935,5379,4556
2021,Birmingham 030,E02001856,9638,4829,4809
2021,Birmingham 031,E02001857,13854,6794,7060
2021,Birmingham 032,E02001858,9147,4626,4521
2021,Birmingham 033,E02001859,10398,5194,5204
2021,Birmingham 034,E02001860,8471,4243,4228
2021,Birmingham 035,E02001861,11205,5519,5686
2021,Birmingham 036,E02001862,9877,5011,4866
2021,Birmingham 037,E02001863,8404,4120,4284
2021,Birmingham 039,E02001865,11402,5619,5783
2021,Birmingham 040,E02001866,9451,4554,4897
2021,Birmingham 041,E02001867,8667,4352,4315
2021,Birmingham 042,E02001868,9818,4946,4872
2021,Birmingham 043,E02001869,7010,3680,3330
2021,Birmingham 044,E02001870,12993,6620,6373
2021,Birmingham 045,E02001871,8339,4413,3926
2021,Birmingham 046,E02001872,7423,3988,3435
2021,Birmingham 047,E02001873,11386,5780,5606
2021,Birmingham 048,E02001874,9959,5051,4908
2021,Birmingham 049,E02001875,8961,4463,4498
2021,Birmingham 050,E02001876,16085,8554,7531
2021,Birmingham 051,E02001877,12396,6241,6155
2021,Birmingham 052,E02001878,9522,4804,4718
2021,Birmingham 053,E02001879,10025,4793,5232
2021,Birmingham 054,E02001880,10037,5260,4777
2021,Birmingham 055,E02001881,10496,5295,5201
2021,Birmingham 056,E02001882,8912,4549,4363
2021,Birmingham 057,E02001883,8517,4406,4111
2021,Birmingham 058,E02001884,10188,5156,5032
2021,Birmingham 060,E02001886,9892,4771,5121
2021,Birmingham 062,E02001888,7181,3736,3445
2021,Birmingham 063,E02001889,9053,4521,4532
2021,Birmingham 064,E02001890,9976,4923,5053
2021,Birmingham 066,E02001892,11587,5961,5626
2021,Birmingham 067,E02001893,8822,4451,4371
2021,Birmingham 069,E02001895,8955,4727,4228
2021,Birmingham 070,E02001896,10158,5144,5014
2021,Birmingham 071,E02001897,8626,4347,4279
2021,Birmingham 072,E02001898,6558,3320,3238
2021,Birmingham 073,E02001899,8533,4403,4130
2021,Birmingham 074,E02001900,6710,3250,3460
2021,Birmingham 075,E02001901,8142,4231,3911
2021,Birmingham 076,E02001902,6255,3169,3086
2021,Birmingham 077,E02001903,8074,4039,4035
2021,Birmingham 078,E02001904,7725,3933,3792
2021,Birmingham 079,E02001905,10274,5504,4770
2021,Birmingham 080,E02001906,9569,4976,4593
2021,Birmingham 081,E02001907,10414,5204,5210
2021,Birmingham 082,E02001908,8953,4420,4533
2021,Birmingham 083,E02001909,8290,4143,4147
2021,Birmingham 084,E02001910,7232,3527,3705
2021,Birmingham 085,E02001911,8738,4521,4217
2021,Birmingham 087,E02001913,7442,3796,3646
2021,Birmingham 088,E02001914,7060,3486,3574
2021,Birmingham 089,E02001915,11959,5951,6008
2021,Birmingham 090,E02001916,9897,4994,4903
2021,Birmingham 092,E02001918,8651,4229,4422
2021,Birmingham 093,E02001919,6941,3455,3486
2021,Birmingham 094,E02001920,7654,4036,3618
2021,Birmingham 095,E02001921,7739,4019,3720
2021,Birmingham 096,E02001922,15988,8751,7237
2021,Birmingham 097,E02001923,11118,5666,5452
2021,Birmingham 098,E02001924,7077,3617,3460
2021,Birmingham 099,E02001925,6736,3471,3265
2021,Birmingham 100,E02001926,7829,3934,3895
2021,Birmingham 101,E02001927,7669,4048,3621
2021,Birmingham 102,E02001928,6818,3608,3210
2021,Birmingham 103,E02001929,10508,5440,5068
2021,Birmingham 104,E02001930,7703,3955,3748
2021,Birmingham 105,E02001931,8591,4368,4223
2021,Birmingham 106,E02001932,7425,3957,3468
2021,Birmingham 107,E02001933,7719,4004,3715
2021,Birmingham 108,E02001934,7146,3633,3513
2021,Birmingham 109,E02001935,8080,4260,3820
2021,Birmingham 110,E02001936,6384,3283,3101
