"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","Folkestone and Hythe","E07000112",109758,98281,7732,1672,1258,815
"2021","Swale","E07000113",151677,139533,7834,2183,1351,776
"2021","Thanet","E07000114",140587,126862,9102,2295,1261,1067
"2021","Tonbridge and Malling","E07000115",132204,120359,7968,1856,1131,890
"2021","Tunbridge Wells","E07000116",115310,99728,9653,2681,1752,1496
"2021","Cherwell","E07000177",161016,132685,14702,5795,4617,3217
"2021","Oxford","E07000178",162040,105387,23957,10145,10076,12475
"2021","South Oxfordshire","E07000179",149085,130136,11713,3216,2304,1716
"2021","Vale of White Horse","E07000180",138913,119245,11423,3605,2478,2162
"2021","West Oxfordshire","E07000181",114237,102123,7624,2033,1486,971
"2021","Elmbridge","E07000207",138754,109048,18820,4634,3457,2795
"2021","Epsom and Ewell","E07000208",80937,63540,12050,2423,1570,1354
"2021","Guildford","E07000209",143650,116160,14609,4200,3803,4878
"2021","Mole Valley","E07000210",87386,76578,7434,1507,1031,836
"2021","Reigate and Banstead","E07000211",150848,126218,15837,3526,2864,2403
"2021","Runnymede","E07000212",88079,70554,9721,2832,2342,2630
"2021","Spelthorne","E07000213",102956,81469,13922,3549,2256,1760
"2021","Surrey Heath","E07000214",90453,75028,10426,2192,1537,1270
"2021","Tandridge","E07000215",87874,78193,7089,1188,742,662
"2021","Waverley","E07000216",128227,111898,10628,2400,1696,1605
"2021","Woking","E07000217",103943,78797,14624,4262,3520,2740
"2021","Adur","E07000223",64544,59300,3730,763,437,314
"2021","Arun","E07000224",164889,147218,11013,3328,1962,1368
"2021","Chichester","E07000225",124069,111578,8024,1861,1415,1191
"2021","Crawley","E07000226",118493,86743,18486,5907,4618,2739
"2021","Horsham","E07000227",146780,131674,9764,2242,1712,1388
"2021","Mid Sussex","E07000228",152566,134395,11629,2752,1999,1791
"2021","Worthing","E07000229",111338,97846,8592,2346,1502,1052
"2021","Bath and North East Somerset","E06000022",193409,170090,11637,4042,3331,4309
"2021","Bristol, City of","E06000023",472465,383497,45434,17039,13612,12883
"2021","North Somerset","E06000024",216728,198533,10878,3380,2396,1541
"2021","South Gloucestershire","E06000025",290424,259756,16321,6070,4430,3847
"2021","Plymouth","E06000026",264694,240345,13861,4621,2984,2883
"2021","Torbay","E06000027",139324,129424,6495,1564,931,910
"2021","Swindon","E06000030",233410,185756,24181,9854,8093,5526
"2021","Cornwall","E06000052",570307,540148,19798,4456,3071,2834
"2021","Isles of Scilly","E06000053",2057,1940,56,21,18,22
"2021","Wiltshire","E06000054",510333,459802,32662,7692,5574,4603
"2021","Bournemouth, Christchurch and Poole","E06000058",400196,338248,33763,12263,8712,7210
"2021","Dorset","E06000059",379579,354852,17849,2941,2049,1888
"2021","East Devon","E07000040",150828,141530,6265,1390,937,706
"2021","Exeter","E07000041",130709,111104,8574,3493,3057,4481
"2021","Mid Devon","E07000042",82850,77676,3302,884,604,384
"2021","North Devon","E07000043",98607,93196,3457,675,612,667
"2021","South Hams","E07000044",88629,83086,3919,600,540,484
"2021","Teignbridge","E07000045",134803,127824,5204,846,543,386
"2021","Torridge","E07000046",68114,65384,1938,321,228,243
"2021","West Devon","E07000047",57096,53989,2161,385,294,267
"2021","Cheltenham","E07000078",118836,101541,9527,3212,2494,2062
"2021","Cotswold","E07000079",90833,82833,5056,1183,955,806
"2021","Forest of Dean","E07000080",87004,82569,2813,722,459,441
"2021","Gloucester","E07000081",132417,113343,11479,3629,2360,1606
"2021","Stroud","E07000082",121103,113160,5787,1061,662,433
"2021","Tewkesbury","E07000083",94884,87116,4966,1324,980,498
"2021","Mendip","E07000187",116091,106933,5653,1586,1000,919
"2021","Sedgemoor","E07000188",125344,114721,5593,2578,1405,1047
"2021","South Somerset","E07000189",172669,158140,8376,2709,2019,1425
"2021","Somerset West and Taunton","E07000246",157444,142957,8040,2380,1901,2166
"2021","Isle of Anglesey","W06000001",68877,66583,1727,246,190,131
"2021","Gwynedd","W06000002",117393,111034,3226,908,935,1290
"2021","Conwy","W06000003",114741,108801,4158,802,586,394
"2021","Denbighshire","W06000004",95817,91306,3036,581,415,479
"2021","Flintshire","W06000005",154962,144952,5561,2206,1436,807
"2021","Wrexham","W06000006",135117,124476,5911,2092,1610,1028
"2021","Ceredigion","W06000008",71475,66430,2683,609,763,990
"2021","Pembrokeshire","W06000009",123360,117408,4207,701,584,460
"2021","Carmarthenshire","W06000010",187897,178385,6120,1657,944,791
"2021","Swansea","W06000011",238490,216019,12185,3893,2960,3433
"2021","Neath Port Talbot","W06000012",142289,137115,3363,715,560,536
"2021","Bridgend","W06000013",145488,139225,4339,885,535,504
"2021","Vale of Glamorgan","W06000014",131939,124315,5343,889,681,711
"2021","Cardiff","W06000015",362308,302460,31076,10196,8329,10247
"2021","Rhondda Cynon Taff","W06000016",237652,228753,5083,1253,1054,1509
"2021","Caerphilly","W06000018",175952,170772,3624,890,400,266
"2021","Blaenau Gwent","W06000019",66904,64757,1291,425,274,157
"2021","Torfaen","W06000020",92273,88990,2288,496,318,181
"2021","Monmouthshire","W06000021",92957,87843,3509,650,505,450
"2021","Newport","W06000022",159591,140174,11170,3634,2617,1996
"2021","Powys","W06000023",133171,126711,4336,999,700,425
"2021","Merthyr Tydfil","W06000024",58839,55553,1892,649,374,371
