date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Manchester 021E,E01005193,1729,1511,0,185,33
2021,Manchester 022B,E01005230,2078,1510,105,358,105
2021,Manchester 022C,E01005231,2491,994,383,909,205
2021,Manchester 022D,E01005236,2233,1691,138,320,84
2021,Manchester 022E,E01005237,2015,1885,16,88,26
2021,Manchester 022H,E01034119,2642,1573,277,643,149
2021,Manchester 023A,E01005195,2395,2234,3,142,16
2021,Manchester 023C,E01005197,1712,1516,9,156,31
2021,Manchester 023D,E01005198,2026,1906,5,85,30
2021,Manchester 023E,E01005201,2073,1758,6,246,63
2021,Manchester 023F,E01034120,1755,1647,6,85,17
2021,Manchester 023G,E01034121,1397,1288,12,86,11
2021,Manchester 024B,E01005243,2876,2520,20,290,46
2021,Manchester 024C,E01005245,2773,2477,13,232,51
2021,Manchester 024D,E01005246,2515,2338,4,123,50
2021,Manchester 024E,E01034122,1853,1570,31,198,54
2021,Manchester 024F,E01034123,1731,1477,3,223,28
2021,Manchester 025C,E01005244,2968,1686,410,684,188
2021,Manchester 025D,E01005285,1517,1238,84,163,32
2021,Manchester 025E,E01005288,1796,1225,148,346,77
2021,Manchester 025F,E01034124,1540,1311,43,126,60
2021,Manchester 025G,E01034125,1530,1204,29,216,81
2021,Manchester 025H,E01034126,1634,1397,31,149,57
2021,Manchester 025I,E01034127,1342,1070,36,181,55
2021,Manchester 026A,E01005280,2164,2016,14,118,16
2021,Manchester 026B,E01005281,2567,727,186,1418,236
2021,Manchester 026C,E01005284,2585,1120,199,865,401
2021,Manchester 026D,E01005286,2284,1192,364,586,142
2021,Manchester 026E,E01005287,2319,2067,43,168,41
2021,Manchester 028A,E01005297,2410,2068,16,308,18
2021,Manchester 028B,E01005298,1782,1616,7,148,11
2021,Manchester 028C,E01005302,2079,1708,15,330,26
2021,Manchester 028E,E01033680,1237,969,7,240,21
2021,Manchester 028F,E01033686,1307,1123,10,154,20
2021,Manchester 029A,E01005150,1676,1242,22,384,28
2021,Manchester 029B,E01005151,1468,1239,12,185,32
2021,Manchester 029C,E01005152,1410,1258,7,137,8
2021,Manchester 029D,E01005159,1592,1380,23,173,16
2021,Manchester 029E,E01005296,1557,1396,9,129,23
2021,Manchester 029F,E01005299,1563,1429,5,113,16
2021,Manchester 030A,E01005178,1986,1759,18,173,36
2021,Manchester 030B,E01005179,2215,1920,12,250,33
2021,Manchester 030C,E01005180,1887,1689,16,160,22
2021,Manchester 030D,E01005181,2201,1963,11,202,25
2021,Manchester 030E,E01005182,1607,1496,12,74,25
2021,Manchester 030F,E01005183,1781,1674,21,63,23
2021,Manchester 031A,E01005219,2246,1855,17,302,72
