date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Tameside 010,E02001238,7915,7337,9,534,35
2021,Tameside 011,E02001239,9441,8789,9,557,86
2021,Tameside 012,E02001240,6332,5910,11,388,23
2021,Tameside 013,E02001241,11067,10238,6,731,92
2021,Tameside 014,E02001242,6984,6513,12,422,37
2021,Tameside 015,E02001243,8180,7464,11,680,25
2021,Tameside 016,E02001244,5367,5118,4,237,8
2021,Tameside 017,E02001245,7949,7264,8,622,55
2021,Tameside 018,E02001246,7368,6909,11,435,13
2021,Tameside 019,E02001247,7326,6840,12,447,27
2021,Tameside 020,E02001248,11840,10930,10,872,28
2021,Tameside 021,E02001249,6313,5821,9,464,19
2021,Tameside 022,E02001250,6424,6068,7,328,21
2021,Tameside 023,E02001251,6046,5572,6,455,13
2021,Tameside 024,E02001252,7485,7038,3,412,32
2021,Tameside 025,E02001253,4965,4622,1,333,9
2021,Tameside 026,E02001254,5574,5261,4,293,16
2021,Tameside 027,E02001255,7567,7021,5,529,12
2021,Tameside 028,E02001256,10365,9640,8,672,45
2021,Tameside 029,E02001257,9035,8490,3,527,15
2021,Tameside 030,E02001258,7369,6858,9,486,16
2021,Trafford 001,E02001259,11575,10041,92,1262,180
2021,Trafford 002,E02001260,7495,7092,13,368,22
2021,Trafford 003,E02001261,8775,7691,30,943,111
2021,Trafford 004,E02001262,8571,7973,17,500,81
2021,Trafford 005,E02001263,8327,7731,20,535,41
2021,Trafford 006,E02001264,8566,7976,21,520,49
2021,Trafford 007,E02001265,8100,7624,21,423,32
2021,Trafford 008,E02001266,6834,6358,10,434,32
2021,Trafford 009,E02001267,7161,6493,12,611,45
2021,Trafford 010,E02001268,6980,6562,12,380,26
2021,Trafford 011,E02001269,8287,7572,25,645,45
2021,Trafford 012,E02001270,8441,7511,16,803,111
2021,Trafford 013,E02001271,6581,6119,14,407,41
2021,Trafford 014,E02001272,7940,7252,18,591,79
2021,Trafford 015,E02001273,9443,8284,21,974,164
2021,Trafford 016,E02001274,8011,7351,26,560,74
2021,Trafford 017,E02001275,8099,7562,13,501,23
2021,Trafford 018,E02001276,8020,7464,15,486,55
2021,Trafford 019,E02001277,9273,8529,12,602,130
2021,Trafford 020,E02001278,8614,7867,15,641,91
2021,Trafford 021,E02001279,8208,7580,23,540,65
2021,Trafford 022,E02001280,8323,7750,14,504,55
2021,Trafford 023,E02001281,7670,7145,17,443,65
2021,Trafford 024,E02001282,9967,8801,35,964,167
2021,Trafford 025,E02001283,9429,8439,33,836,121
2021,Trafford 026,E02001284,8079,7242,31,705,101
2021,Trafford 027,E02001285,7712,6973,30,652,57
2021,Trafford 028,E02001286,8186,7398,24,698,66
2021,Wigan 001,E02001287,6545,5909,18,605,13
2021,Wigan 002,E02001288,8256,7525,23,682,26
2021,Wigan 003,E02001289,10080,9497,16,545,22
2021,Wigan 004,E02001290,6088,5725,6,346,11
2021,Wigan 005,E02001291,7739,7047,8,617,67
2021,Wigan 006,E02001292,7955,7167,15,666,107
2021,Wigan 007,E02001293,6206,5809,6,378,13
2021,Wigan 008,E02001294,7907,6990,19,825,73
2021,Wigan 009,E02001295,7172,6559,4,581,28
2021,Wigan 010,E02001296,8930,8365,11,524,30
2021,Wigan 011,E02001297,6528,6103,10,395,20
2021,Wigan 012,E02001298,8015,7437,8,542,28
2021,Wigan 013,E02001299,8603,7914,7,651,31
2021,Wigan 014,E02001300,7820,7244,6,546,24
2021,Wigan 015,E02001301,8930,8112,7,746,65
2021,Wigan 016,E02001302,7906,7438,9,434,25
2021,Wigan 017,E02001303,8912,8262,4,607,39
2021,Wigan 018,E02001304,12662,11808,14,808,32
2021,Wigan 019,E02001305,8434,7899,4,510,21
2021,Wigan 020,E02001306,7081,6756,5,296,24
2021,Wigan 021,E02001307,11572,10971,19,555,27
2021,Wigan 022,E02001308,5918,5501,5,386,26
2021,Wigan 023,E02001309,8260,7529,4,695,32
2021,Wigan 024,E02001310,9100,8273,9,779,39
2021,Wigan 025,E02001311,8112,7492,7,583,30
2021,Wigan 026,E02001312,8576,7679,4,861,32
2021,Wigan 027,E02001313,8078,7405,8,634,31
2021,Wigan 028,E02001314,7921,7457,8,434,22
2021,Wigan 029,E02001315,9302,8351,13,901,37
2021,Wigan 030,E02001316,7273,6339,7,839,88
2021,Wigan 031,E02001317,8902,8028,5,851,18
2021,Wigan 032,E02001318,7769,7276,5,474,14
2021,Wigan 033,E02001319,8201,7452,7,699,43
2021,Wigan 034,E02001320,7318,6884,4,406,24
2021,Wigan 035,E02001321,7943,7478,9,450,6
2021,Wigan 036,E02001322,7142,6664,8,445,25
2021,Wigan 037,E02001323,7662,7078,9,546,29
2021,Wigan 038,E02001324,8198,7663,14,486,35
2021,Wigan 039,E02001325,8870,7989,10,852,19
2021,Wigan 040,E02001326,8090,7395,8,655,32
2021,Birmingham 001,E02001827,6414,5893,16,486,19
2021,Birmingham 002,E02001828,7096,6537,22,511,26
2021,Birmingham 003,E02001829,9070,8450,19,547,54
2021,Birmingham 004,E02001830,9621,8788,29,734,70
2021,Birmingham 005,E02001831,10543,9675,14,802,52
2021,Birmingham 006,E02001832,7870,7228,19,591,32
2021,Birmingham 007,E02001833,5879,5519,9,338,13
2021,Birmingham 008,E02001834,6051,5650,8,363,30
2021,Birmingham 009,E02001835,8416,7458,30,844,84
2021,Birmingham 010,E02001836,9027,8399,25,575,28
2021,Birmingham 011,E02001837,10520,9916,10,555,39
2021,Birmingham 012,E02001838,7496,6957,20,491,28
2021,Birmingham 013,E02001839,6368,5913,16,408,31
2021,Birmingham 014,E02001840,9462,8858,12,552,40
2021,Birmingham 015,E02001841,5923,5535,16,354,18
2021,Birmingham 016,E02001842,7961,7434,22,454,51
2021,Birmingham 017,E02001843,6520,6104,6,373,37
2021,Birmingham 018,E02001844,9623,8850,25,708,40
2021,Birmingham 019,E02001845,6573,6159,6,388,20
2021,Birmingham 020,E02001846,8052,7424,11,547,70
2021,Birmingham 021,E02001847,5545,5174,9,340,22
2021,Birmingham 022,E02001848,7223,6723,23,449,28
2021,Birmingham 023,E02001849,8624,7744,24,773,83
2021,Birmingham 024,E02001850,8499,7803,63,551,82
2021,Birmingham 025,E02001851,8974,8267,9,643,55
2021,Birmingham 026,E02001852,6947,6254,13,624,56
2021,Birmingham 029,E02001855,9799,9179,14,579,27
2021,Birmingham 030,E02001856,9490,8422,44,922,102
2021,Birmingham 031,E02001857,13694,12156,39,1352,147
2021,Birmingham 032,E02001858,9013,8048,56,774,135
2021,Birmingham 033,E02001859,10256,9501,17,578,160
2021,Birmingham 034,E02001860,8371,7529,19,631,192
2021,Birmingham 035,E02001861,11007,10032,12,829,134
2021,Birmingham 036,E02001862,9762,9050,19,549,144
2021,Birmingham 037,E02001863,8282,7733,17,434,98
2021,Birmingham 039,E02001865,11270,10514,16,604,136
2021,Birmingham 040,E02001866,9319,8669,41,514,95
2021,Birmingham 041,E02001867,8555,8133,9,341,72
2021,Birmingham 042,E02001868,9686,9139,32,484,31
2021,Birmingham 043,E02001869,6908,6427,49,371,61
2021,Birmingham 044,E02001870,12814,12004,16,693,101
2021,Birmingham 045,E02001871,8233,7667,13,527,26
2021,Birmingham 046,E02001872,7309,6849,10,431,19
2021,Birmingham 047,E02001873,11201,10068,42,902,189
2021,Birmingham 048,E02001874,9778,9261,9,410,98
2021,Birmingham 049,E02001875,8828,7856,58,801,113
2021,Birmingham 050,E02001876,15925,8518,1252,5304,851
2021,Birmingham 051,E02001877,12192,11512,27,525,128
2021,Birmingham 052,E02001878,9364,8641,72,517,134
2021,Birmingham 053,E02001879,9896,8740,60,921,175
2021,Birmingham 054,E02001880,9876,9250,17,560,49
2021,Birmingham 055,E02001881,10337,9829,6,420,82
2021,Birmingham 056,E02001882,8779,8071,12,637,59
2021,Birmingham 057,E02001883,8404,7838,12,520,34
2021,Birmingham 058,E02001884,10006,9415,6,402,183
2021,Birmingham 060,E02001886,9792,8485,104,1015,188
2021,Birmingham 062,E02001888,7088,6478,16,560,34
2021,Birmingham 063,E02001889,8951,8407,5,368,171
2021,Birmingham 064,E02001890,9877,7379,271,1828,399
2021,Birmingham 066,E02001892,11399,10724,11,534,130
2021,Birmingham 067,E02001893,8699,7952,16,664,67
2021,Birmingham 069,E02001895,8864,8256,26,550,32
2021,Birmingham 070,E02001896,9990,9376,12,457,145
2021,Birmingham 071,E02001897,8491,7807,19,583,82
2021,Birmingham 072,E02001898,6486,6043,15,398,30
2021,Birmingham 073,E02001899,8424,7700,24,624,76
2021,Birmingham 074,E02001900,6630,5637,88,731,174
2021,Birmingham 075,E02001901,8057,6643,162,1100,152
2021,Birmingham 076,E02001902,6180,5729,8,409,34
2021,Birmingham 077,E02001903,7956,7569,1,310,76
2021,Birmingham 078,E02001904,7630,6960,4,551,115
2021,Birmingham 079,E02001905,10190,5358,350,3827,655
2021,Birmingham 080,E02001906,9475,8753,19,622,81
2021,Birmingham 081,E02001907,10282,9220,34,973,55
2021,Birmingham 082,E02001908,8813,8384,14,337,78
2021,Birmingham 083,E02001909,8146,7655,15,378,98
2021,Birmingham 084,E02001910,7108,6611,12,389,96
2021,Birmingham 085,E02001911,8647,8051,29,511,56
2021,Birmingham 087,E02001913,7385,5651,364,1072,298
2021,Birmingham 088,E02001914,6942,6256,42,567,77
2021,Birmingham 089,E02001915,11827,10714,21,1011,81
2021,Birmingham 090,E02001916,9764,8768,11,876,109
2021,Birmingham 092,E02001918,8581,7481,70,959,71
2021,Birmingham 093,E02001919,6842,6191,19,584,48
2021,Birmingham 094,E02001920,7530,6961,26,500,43
2021,Birmingham 095,E02001921,7652,6880,39,640,93
2021,Birmingham 096,E02001922,15943,4386,4979,5892,686
2021,Birmingham 097,E02001923,10983,10106,15,759,103
2021,Birmingham 098,E02001924,6988,6332,11,619,26
2021,Birmingham 099,E02001925,6674,5593,190,792,99
2021,Birmingham 100,E02001926,7748,6320,332,937,159
2021,Birmingham 101,E02001927,7582,6981,28,507,66
2021,Birmingham 102,E02001928,6744,6381,8,334,21
2021,Birmingham 103,E02001929,10309,9590,12,646,61
2021,Birmingham 104,E02001930,7636,6874,46,672,44
2021,Birmingham 105,E02001931,8493,7851,12,577,53
2021,Birmingham 106,E02001932,7350,6789,18,522,21
2021,Birmingham 107,E02001933,7637,7015,26,566,30
2021,Birmingham 108,E02001934,7060,6552,7,471,30
