date,geography,geography code,Passports held: Total; measures: Value,Passports held: Europe; measures: Value,Passports held: Europe: United Kingdom; measures: Value,Passports held: Europe: Ireland; measures: Value,Passports held: Europe: Other Europe; measures: Value,Passports held: Europe: Other Europe: EU Member countries; measures: Value,Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Passports held: Europe: Other Europe: Rest of Europe; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Passports held: Africa; measures: Value,Passports held: Africa: North Africa; measures: Value,Passports held: Africa: Central and Western Africa; measures: Value,Passports held: Africa: South and Eastern Africa; measures: Value,Passports held: Middle East and Asia; measures: Value,Passports held: Middle East and Asia: Middle East; measures: Value,Passports held: Middle East and Asia: Eastern Asia; measures: Value,Passports held: Middle East and Asia: Southern Asia; measures: Value,Passports held: Middle East and Asia: South-East Asia; measures: Value,Passports held: Middle East and Asia: Central Asia; measures: Value,Passports held: The Americas and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: Central and South America; measures: Value,"Passports held: Antarctica and Oceania, including Australasia; measures: Value",Passports held: British Overseas Territories; measures: Value,Passports held: No passport held; measures: Value
2021,Walsall 010D,E01010354,1539,1212,1183,6,23,23,0,0,1,0,0,0,14,3,5,0,0,0,2,0,2,0,5,0,0,5,0,0,1,1,0,0,0,319
2021,Walsall 011A,E01010395,1352,1196,1181,5,10,8,1,0,0,0,0,4,3,0,0,2,2,0,2,1,0,1,24,0,0,24,0,0,1,1,0,0,0,129
2021,Walsall 011B,E01010397,1700,1167,1119,3,45,42,0,1,6,0,0,0,20,4,11,3,0,3,7,0,3,4,10,0,1,9,0,0,0,0,0,0,0,516
2021,Walsall 011C,E01010398,1534,1346,1338,1,7,7,0,1,0,0,0,0,2,0,4,0,0,0,1,0,1,0,20,0,0,18,2,0,0,0,0,0,0,167
2021,Walsall 011D,E01010399,1525,1247,1208,2,37,37,0,0,15,0,0,3,13,1,5,0,0,0,0,0,0,0,8,0,0,8,0,0,1,0,1,0,0,269
2021,Walsall 012A,E01010282,1348,904,838,2,64,64,0,0,9,0,0,0,24,20,11,0,0,0,7,0,4,3,14,0,2,11,1,0,2,1,1,1,0,420
2021,Walsall 012B,E01010287,1714,1200,1154,0,46,45,0,0,0,1,5,2,17,13,7,1,0,1,7,0,5,2,8,0,3,3,2,0,0,0,0,0,0,499
2021,Walsall 012C,E01010288,1645,1089,1006,2,81,81,1,0,1,0,14,0,42,14,9,0,0,0,6,0,3,3,20,0,1,18,0,1,1,1,0,0,0,529
2021,Walsall 012D,E01010289,1956,1299,1161,7,131,130,4,0,16,6,1,0,56,16,31,1,0,1,29,0,21,8,8,0,0,8,0,0,2,1,1,0,0,618
2021,Walsall 013B,E01010277,1767,1283,1180,3,100,99,2,0,12,5,8,2,50,4,16,1,0,1,37,1,27,9,29,1,1,27,0,0,7,7,0,1,0,410
2021,Walsall 013D,E01010283,1922,1243,1077,5,161,151,1,3,9,4,7,6,62,20,39,10,0,10,20,2,8,10,23,0,0,22,1,0,1,1,0,0,0,635
2021,Walsall 013F,E01033894,1811,1223,1015,4,204,197,3,5,16,2,4,4,88,20,55,7,0,7,15,0,6,9,27,3,0,24,0,0,9,8,1,0,0,537
2021,Walsall 013G,E01033895,1658,1187,940,7,240,239,1,4,23,7,1,11,128,36,28,1,0,1,20,0,11,9,40,0,2,37,1,0,2,2,0,0,0,409
2021,Walsall 014A,E01010393,1468,1119,1080,6,33,32,0,4,10,0,0,0,15,2,1,1,0,1,0,0,0,0,44,0,0,44,0,0,2,2,0,0,0,303
2021,Walsall 014B,E01010394,1345,1057,1028,1,28,26,0,1,10,0,4,1,3,5,2,2,0,2,2,0,1,1,40,0,2,38,0,0,0,0,0,0,0,246
2021,Walsall 014C,E01010396,1681,1274,1239,5,30,30,0,2,12,2,0,1,0,10,3,0,0,0,0,0,0,0,15,0,3,12,0,0,2,1,1,0,0,390
2021,Walsall 014D,E01010400,2106,1442,1332,6,104,103,3,4,19,5,0,3,45,12,12,1,0,1,13,0,7,6,26,1,0,20,5,0,1,1,0,0,0,624
2021,Walsall 015A,E01010241,2337,2008,1949,19,40,40,3,1,6,0,4,0,5,11,10,0,0,0,3,0,3,0,15,0,2,12,1,0,1,1,0,0,0,310
2021,Walsall 015B,E01010242,1638,1207,1168,8,31,30,0,0,2,0,1,0,10,8,9,1,0,1,7,0,6,1,2,0,1,1,0,0,5,4,1,0,0,417
2021,Walsall 015C,E01010243,1489,1239,1226,8,5,5,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,244
2021,Walsall 015D,E01010244,1460,1060,1012,6,42,42,0,0,5,0,10,1,26,0,0,0,0,0,11,0,9,2,6,1,0,5,0,0,0,0,0,0,0,383
2021,Walsall 016A,E01010320,1338,1022,989,3,30,29,1,1,6,0,0,0,5,5,11,1,1,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,312
2021,Walsall 016B,E01010322,1679,1293,1247,1,45,45,2,0,3,0,4,0,14,11,11,0,0,0,6,0,6,0,9,0,1,4,4,0,4,2,2,0,0,367
2021,Walsall 016C,E01010323,1483,1126,1088,6,32,29,0,1,4,0,0,3,9,0,12,3,0,3,6,0,6,0,9,0,1,7,1,0,1,1,0,2,0,339
2021,Walsall 016D,E01010324,1947,1498,1426,4,68,46,0,0,10,0,5,0,8,10,13,22,10,12,14,0,14,0,25,0,12,12,1,0,3,3,0,0,0,407
2021,Walsall 017A,E01010271,2113,1420,1349,4,67,65,0,0,10,0,2,1,29,11,12,2,0,2,20,0,15,5,10,0,2,8,0,0,4,3,1,0,0,659
2021,Walsall 017B,E01010272,1544,984,915,2,67,65,0,5,4,6,5,8,12,13,12,2,0,2,18,0,15,3,18,2,3,12,1,0,3,3,0,0,0,521
2021,Walsall 017C,E01010273,1508,951,884,2,65,64,0,0,11,2,5,6,28,10,2,1,0,1,14,0,9,5,2,0,0,2,0,0,1,1,0,0,0,540
2021,Walsall 017D,E01010295,1517,1023,940,3,80,76,0,6,8,0,0,1,35,12,14,4,0,4,5,0,5,0,8,0,1,5,2,0,4,3,1,0,0,477
2021,Walsall 018B,E01010279,2019,1489,1207,6,276,275,1,2,16,0,14,12,136,31,63,1,0,1,40,4,28,8,22,1,2,19,0,0,13,13,0,0,0,455
2021,Walsall 018D,E01010374,2708,2037,1718,7,312,306,2,1,34,9,14,12,96,50,88,6,0,6,46,1,38,7,132,5,1,121,5,0,8,8,0,0,0,485
2021,Walsall 018E,E01010375,2306,1780,1460,3,317,307,0,2,49,10,33,4,79,30,100,10,0,10,39,3,28,8,183,0,7,175,1,0,6,6,0,0,0,298
2021,Walsall 018F,E01032888,2760,1774,1593,1,180,178,11,0,16,4,9,14,74,18,32,2,0,2,32,2,24,6,16,0,1,14,1,0,7,7,0,0,0,931
2021,Walsall 019A,E01010378,1175,934,876,2,56,56,0,0,42,4,0,0,2,0,8,0,0,0,3,0,3,0,35,0,0,35,0,0,1,1,0,0,0,202
2021,Walsall 019B,E01010379,1273,1021,1007,1,13,13,0,0,3,0,0,0,0,3,7,0,0,0,8,1,4,3,12,0,1,11,0,0,1,0,1,0,0,231
2021,Walsall 019C,E01010382,1500,1089,1028,1,60,60,0,0,12,5,0,5,14,8,16,0,0,0,6,0,1,5,14,0,2,12,0,0,0,0,0,0,0,391
2021,Walsall 019D,E01010383,1679,1150,1099,6,45,45,0,0,12,0,1,0,6,1,25,0,0,0,21,0,21,0,18,0,2,15,1,0,3,3,0,2,0,485
2021,Walsall 020A,E01010376,1223,1008,956,1,51,51,0,3,21,0,0,7,10,1,9,0,0,0,0,0,0,0,40,0,0,40,0,0,2,2,0,0,0,173
2021,Walsall 020B,E01010377,1813,1386,1306,5,75,75,1,1,26,12,6,6,10,5,8,0,0,0,3,0,3,0,41,1,0,39,1,0,0,0,0,0,0,383
2021,Walsall 020C,E01010380,1428,1155,1139,5,11,10,0,2,3,0,0,0,0,1,4,1,1,0,0,0,0,0,9,0,0,9,0,0,2,2,0,0,0,262
2021,Walsall 020D,E01010381,1572,1130,1095,1,34,34,0,0,8,0,0,2,8,3,13,0,0,0,3,1,2,0,26,1,2,23,0,0,3,3,0,0,0,410
2021,Walsall 021A,E01010267,1594,1294,1251,7,36,36,0,0,6,0,1,2,18,8,1,0,0,0,7,0,6,1,35,0,0,31,4,0,3,3,0,0,0,255
2021,Walsall 021B,E01010268,1795,1413,1245,0,168,162,0,10,9,0,13,1,49,46,34,6,0,6,31,1,25,5,112,1,0,110,1,0,0,0,0,0,0,239
2021,Walsall 021C,E01010274,1580,971,902,0,69,69,0,0,19,3,0,2,23,18,4,0,0,0,6,0,5,1,8,0,0,8,0,0,11,8,3,0,0,584
2021,Walsall 021D,E01010275,1892,1286,1214,1,71,70,0,3,5,3,13,0,15,4,27,1,0,1,9,0,9,0,12,0,2,10,0,0,3,3,0,0,0,582
2021,Walsall 022A,E01010245,1590,1421,1404,6,11,10,0,1,2,0,0,1,0,6,0,1,0,1,2,0,0,2,0,0,0,0,0,0,2,1,1,0,0,165
2021,Walsall 022B,E01010246,1571,1354,1334,5,15,15,0,0,3,0,0,0,9,0,3,0,0,0,4,0,0,4,8,0,2,6,0,0,2,2,0,0,0,203
