"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Boston","E07000136",70500,53830,36,136,224,174,196,454,6205,2483,3025,2560,1177
"2021","East Lindsey","E07000137",142296,136421,182,446,616,484,433,570,1430,410,533,519,252
"2021","Lincoln","E07000138",103813,88152,81,289,487,467,411,814,4787,1652,2322,2651,1700
"2021","North Kesteven","E07000139",118074,110835,171,407,685,602,593,848,1972,517,557,621,266
"2021","South Holland","E07000140",95123,81215,104,252,455,386,279,619,5124,1867,2392,1828,602
"2021","South Kesteven","E07000141",143404,130616,203,471,822,801,738,1090,4216,1250,1559,1192,446
"2021","West Lindsey","E07000142",95155,90468,107,283,504,372,359,555,1223,333,383,398,170
"2021","Ashfield","E07000170",126300,119087,47,170,308,320,261,530,2430,851,1102,896,298
"2021","Bassetlaw","E07000171",117804,109896,94,279,377,313,306,546,2456,968,1223,1043,303
"2021","Broxtowe","E07000172",110941,99589,113,341,752,701,586,1065,2906,978,1297,1627,986
"2021","Gedling","E07000173",117258,108337,160,502,906,670,550,982,2350,706,953,864,278
"2021","Mansfield","E07000174",110481,98571,93,236,341,374,336,511,3352,1537,2312,2010,808
"2021","Newark and Sherwood","E07000175",122956,114028,127,328,553,456,399,551,2660,986,1345,1140,383
"2021","Rushcliffe","E07000176",119077,109177,209,401,948,849,656,1156,2428,684,844,1147,578
"2021","Herefordshire, County of","E06000019",187034,170958,319,586,836,735,742,1059,4971,1684,2199,1989,956
"2021","Telford and Wrekin","E06000020",185543,164432,136,425,1201,1092,945,1554,5389,1977,3330,3668,1394
"2021","Stoke-on-Trent","E06000021",258369,224531,137,375,963,1259,1193,2533,9755,3328,5467,6293,2535
"2021","Shropshire","E06000051",323606,304471,430,875,1303,1187,1212,1644,4336,1584,2402,2585,1577
