"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","East Staffordshire","E07000193",124020,106755,17265,1924,718,418,1010,200,532,1262,3727,2908,3496,890,77,70,26,4,3
"2021","Lichfield","E07000194",106437,101308,5129,946,276,184,359,67,190,309,892,729,900,224,21,21,10,1,0
"2021","Newcastle-under-Lyme","E07000195",123299,114929,8370,1342,456,206,522,147,354,569,1341,1425,1615,304,32,39,15,2,1
"2021","South Staffordshire","E07000196",110475,106840,3635,743,243,145,326,72,174,229,602,428,512,128,10,18,4,1,0
"2021","Stafford","E07000197",136865,126625,10240,1802,458,264,571,111,326,664,1818,1723,2014,372,57,41,16,2,1
"2021","Staffordshire Moorlands","E07000198",95842,93393,2449,570,149,83,178,26,75,143,344,327,426,104,8,14,1,0,1
"2021","Tamworth","E07000199",78644,73339,5305,673,187,128,278,48,151,326,1124,1018,1079,252,14,20,7,0,0
"2021","North Warwickshire","E07000218",65035,62234,2801,454,132,95,188,43,103,175,487,448,533,115,9,16,3,0,0
"2021","Nuneaton and Bedworth","E07000219",134196,118758,15438,1753,632,395,990,220,544,1065,3138,2572,3040,777,122,156,27,7,0
"2021","Rugby","E07000220",114363,93470,20893,2300,815,524,1146,216,626,1382,4231,3772,4515,1142,100,91,29,4,0
"2021","Stratford-on-Avon","E07000221",134722,123358,11364,2004,551,290,595,100,318,606,1993,1733,2308,679,93,76,18,0,0
"2021","Warwick","E07000222",148453,124265,24188,3172,1084,597,1422,297,1165,1830,4055,4313,5159,858,98,104,31,3,0
"2021","Bromsgrove","E07000234",99182,94380,4802,927,254,160,414,99,288,305,774,667,705,152,20,23,12,1,1
"2021","Malvern Hills","E07000235",79487,74872,4615,995,269,170,362,109,239,218,583,585,752,245,39,38,9,2,0
"2021","Redditch","E07000236",87036,77100,9936,1161,363,212,481,96,248,694,2375,1901,1824,471,45,40,22,3,0
"2021","Worcester","E07000237",103873,90586,13287,1685,579,339,731,141,412,1094,2691,2237,2618,613,55,66,23,2,1
"2021","Wychavon","E07000238",132496,121686,10810,1561,478,245,539,101,226,677,2234,1756,2221,625,61,69,10,6,1
"2021","Wyre Forest","E07000239",101605,96555,5050,859,270,161,314,66,187,283,946,732,944,237,24,22,4,1,0
"2021","Birmingham","E08000025",1144922,838959,305963,36045,17137,10763,25887,5622,14562,22386,55839,45727,56075,12143,1454,1727,473,85,38
"2021","Coventry","E08000026",345324,248991,96333,10065,4582,2717,6418,1548,4546,8368,18819,15684,18863,3837,383,358,112,25,8
"2021","Dudley","E08000027",323489,297930,25559,3136,1411,898,2102,460,1078,1695,4816,3818,4691,1131,125,149,44,4,1
"2021","Sandwell","E08000028",341831,261213,80618,7806,4065,2889,7041,1497,3406,5326,14846,12024,16207,4106,547,642,187,21,8
"2021","Solihull","E08000029",216239,193991,22248,3399,1221,765,1663,355,949,1333,3658,3530,4276,807,98,130,60,1,3
"2021","Walsall","E08000030",284124,242162,41962,4675,2258,1536,3495,732,1834,2937,7923,6258,7860,1883,218,261,77,15,0
"2021","Wolverhampton","E08000031",263727,203312,60415,5685,3139,2192,5251,1072,2534,3867,10849,9178,12516,3099,408,484,123,13,5
"2021","Peterborough","E06000031",215673,154787,60886,6857,2525,1701,3931,857,2269,4066,11730,9691,12977,3522,357,286,106,10,1
"2021","Luton","E06000032",225263,138675,86588,8180,3887,2552,6327,1339,3589,6332,18283,14278,16833,4002,403,454,109,17,3
"2021","Southend-on-Sea","E06000033",180686,158100,22586,2798,1043,596,1308,320,805,1268,4004,4020,5131,1050,106,94,37,5,1
"2021","Thurrock","E06000034",176001,139059,36942,3327,1426,871,2024,515,1354,2478,8159,6968,7708,1661,221,193,32,4,1
"2021","Bedford","E06000055",185227,145586,39641,4607,1884,1189,2760,553,1478,2598,7738,6525,7857,1994,203,187,55,10,3
"2021","Central Bedfordshire","E06000056",294254,261763,32491,4393,1399,826,1864,386,1158,2133,7126,5666,5945,1235,148,153,50,8,1
