date,geography,geography code,Household deprivation: Total: All households; measures: Value,Household deprivation: Household is not deprived in any dimension; measures: Value,Household deprivation: Household is deprived in one dimension; measures: Value,Household deprivation: Household is deprived in two dimensions; measures: Value,Household deprivation: Household is deprived in three dimensions; measures: Value,Household deprivation: Household is deprived in four dimensions; measures: Value
2021,Wigan 015,E02001301,4079,1731,1351,747,234,16
2021,Wigan 016,E02001302,3360,1351,1152,635,210,12
2021,Wigan 017,E02001303,3871,1416,1255,872,315,13
2021,Wigan 018,E02001304,5612,3035,1791,671,108,7
2021,Wigan 019,E02001305,3642,1746,1244,537,113,2
2021,Wigan 020,E02001306,3028,1383,1054,490,98,3
2021,Wigan 021,E02001307,4615,2659,1418,469,68,1
2021,Wigan 022,E02001308,2721,1194,973,439,109,6
2021,Wigan 023,E02001309,3827,1916,1195,553,159,4
2021,Wigan 024,E02001310,3912,1603,1262,791,241,15
2021,Wigan 025,E02001311,3722,1655,1260,631,168,8
2021,Wigan 026,E02001312,3427,1554,1135,563,173,2
2021,Wigan 027,E02001313,3512,1305,1204,726,265,12
2021,Wigan 028,E02001314,3224,1806,972,357,87,2
2021,Wigan 029,E02001315,4008,2262,1217,444,83,2
2021,Wigan 030,E02001316,3493,1402,1210,642,225,14
2021,Wigan 031,E02001317,3905,1893,1228,590,189,5
2021,Wigan 032,E02001318,3399,1487,1158,587,163,4
2021,Wigan 033,E02001319,3666,1541,1235,682,197,11
2021,Wigan 034,E02001320,3399,1514,1141,567,171,6
2021,Wigan 035,E02001321,3339,1617,1144,474,103,1
2021,Wigan 036,E02001322,3185,1625,991,457,111,1
2021,Wigan 037,E02001323,3434,1652,1127,524,127,4
2021,Wigan 038,E02001324,3602,1575,1238,610,175,4
2021,Wigan 039,E02001325,3839,2146,1174,414,103,2
2021,Wigan 040,E02001326,3542,1802,1138,492,110,0
2021,Birmingham 001,E02001827,2634,1433,818,327,55,1
2021,Birmingham 002,E02001828,3130,1664,1031,347,83,5
2021,Birmingham 003,E02001829,3569,2244,1035,243,44,3
2021,Birmingham 004,E02001830,3988,2468,1139,321,59,1
2021,Birmingham 005,E02001831,4493,1994,1484,767,229,19
2021,Birmingham 006,E02001832,3432,1871,1143,359,54,5
2021,Birmingham 007,E02001833,2291,1202,783,259,46,1
2021,Birmingham 008,E02001834,2408,935,855,462,147,9
2021,Birmingham 009,E02001835,3655,2108,1102,372,69,4
2021,Birmingham 010,E02001836,3703,2033,1181,413,75,1
2021,Birmingham 011,E02001837,4037,1181,1435,1023,370,28
2021,Birmingham 012,E02001838,3168,1844,999,291,34,0
2021,Birmingham 013,E02001839,2823,1176,990,501,151,5
2021,Birmingham 014,E02001840,3807,1217,1331,861,373,25
2021,Birmingham 015,E02001841,2377,1420,724,205,28,0
2021,Birmingham 016,E02001842,3179,1577,1057,475,66,4
2021,Birmingham 017,E02001843,2839,1211,1020,511,95,2
2021,Birmingham 018,E02001844,4433,2176,1444,636,172,5
2021,Birmingham 019,E02001845,2725,1364,889,392,77,3
2021,Birmingham 020,E02001846,3293,1213,1162,648,256,14
2021,Birmingham 021,E02001847,2353,1171,791,328,63,0
2021,Birmingham 022,E02001848,2595,908,936,580,159,12
2021,Birmingham 023,E02001849,3722,1427,1332,720,219,24
2021,Birmingham 024,E02001850,3032,1363,1105,469,91,4
2021,Birmingham 025,E02001851,3850,1668,1256,721,195,10
2021,Birmingham 026,E02001852,2853,1091,1003,578,168,13
2021,Birmingham 029,E02001855,4212,1292,1456,1103,340,21
2021,Birmingham 030,E02001856,3609,1497,1241,669,185,17
2021,Birmingham 031,E02001857,5575,2033,1935,1150,421,36
2021,Birmingham 032,E02001858,3229,1141,1260,636,175,17
2021,Birmingham 033,E02001859,2933,927,1135,626,237,8
2021,Birmingham 034,E02001860,2736,938,1028,614,146,10
2021,Birmingham 035,E02001861,3482,1074,1286,832,271,19
2021,Birmingham 036,E02001862,3233,1097,1208,704,212,12
2021,Birmingham 037,E02001863,2445,639,934,594,263,15
2021,Birmingham 039,E02001865,3374,922,1347,841,253,11
2021,Birmingham 040,E02001866,2809,694,1010,751,332,22
2021,Birmingham 041,E02001867,2589,620,1018,671,267,13
2021,Birmingham 042,E02001868,2629,1050,969,472,134,4
2021,Birmingham 043,E02001869,2487,573,1007,659,230,18
2021,Birmingham 044,E02001870,3593,1113,1393,809,262,16
2021,Birmingham 045,E02001871,3559,1042,1318,860,314,25
2021,Birmingham 046,E02001872,3083,987,1105,723,247,21
2021,Birmingham 047,E02001873,3981,1258,1511,929,258,25
2021,Birmingham 048,E02001874,2684,611,1044,694,318,17
2021,Birmingham 049,E02001875,3295,1163,1168,723,229,12
2021,Birmingham 050,E02001876,3667,1312,1276,819,244,16
2021,Birmingham 051,E02001877,3154,699,1236,811,376,32
2021,Birmingham 052,E02001878,2710,764,1002,676,250,18
2021,Birmingham 053,E02001879,3050,931,1157,702,242,18
2021,Birmingham 054,E02001880,3432,1017,1189,859,348,19
2021,Birmingham 055,E02001881,2893,758,1071,737,307,20
2021,Birmingham 056,E02001882,3161,1059,1153,688,244,17
2021,Birmingham 057,E02001883,3626,1094,1266,877,359,30
2021,Birmingham 058,E02001884,2482,617,1026,601,228,10
2021,Birmingham 060,E02001886,3469,1598,1153,537,172,9
2021,Birmingham 062,E02001888,2548,856,911,557,206,18
2021,Birmingham 063,E02001889,2239,594,819,622,199,5
2021,Birmingham 064,E02001890,4406,2177,1439,603,159,28
2021,Birmingham 066,E02001892,3471,984,1314,812,343,18
2021,Birmingham 067,E02001893,3159,1218,1106,645,181,9
2021,Birmingham 069,E02001895,3536,1166,1240,813,282,35
2021,Birmingham 070,E02001896,2574,661,992,643,261,17
2021,Birmingham 071,E02001897,2886,615,1122,768,350,31
2021,Birmingham 072,E02001898,2630,1258,923,398,50,1
2021,Birmingham 073,E02001899,3549,2040,1019,403,80,7
2021,Birmingham 074,E02001900,2739,1158,896,473,196,16
2021,Birmingham 075,E02001901,3747,2391,952,309,90,5
2021,Birmingham 076,E02001902,2463,1098,887,358,113,7
2021,Birmingham 077,E02001903,2120,506,735,592,259,28
